rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,infos,url_immoscout,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher
5.5,150.0,2710,2350,3098,Talbrünnliweg 8,Köniz,1960,Die gut konzipierte Wohnung verfügt über eine helle moderne Küche mit Geschirrspüler und Granit zwei Badezimmer (sep. Bad und Duschkabine) und Gäste-WC schöne hohe Räume Wohnzimmer mit Cheminée gediegene Parkett- und Plattenböden schöner grosser Balkon. Die Bilder sind aus verschiedenen Wohnungen.Die Nebenräume sind sehr grosszügig: eigener Wäscheturm Estrich Keller. Eine Garagen mit direktem Zugang zum Haus können dazu gemietet werden (CHF 160.00).Zum Haus gehört ein schöner Garten mit Steintisch zur Mitbenützung ideal zum Spielen für Kinder und einem Velounterstand.Obwohl das Objekt sehr ruhig gelegen ist kann in wenigen Minuten das Zentrum von Köniz die Bushaltestelle der 10er Linie und der Bahnhof Köniz erreicht werden.,https://www.immoscout24.ch/de/d/wohnung-mieten-koeniz/7103274,True,False,False,True,False,False,False,False,False
4.5,112.5,1650,1380,3066,Bleichestrassse 21b,Stettlen,0,Per 16.07.2022oder nach Vereinbarung vermieten wir an ruhiger und doch zentralen Lage diese schöne und helle Wohnung.Ihre Vorteile als Mieter dieses Objekts:moderne Küche Glaskeramik wird ersetztBad saniertParkett im Wohnzimmer + Korridor wird neu geschliffenParkettböden in allen ZimmernWohnung wird komplett neu gestrichengrosser Balkon wird gestrichenSicht ins GrüneKellerabteilkeine DurchfahrtsstrasseSchule und Kindergarten inkl. Hallenbad in unmittelbarer NäheNaherholungsgebiet Schwandiwald rasch erreichbaröffentliche Verkehrsmittel RBS und Autobahnanschluss befinden sich in unmittelbarer NäheCoop Bäckerei Restaurant Fitness in GehdistanzEinstellhallenplatz kann dazugemietet werden CHF 120.00/mtl.Lassen Sie sich von dieser schönen Wohnung überraschen.Wir freuen uns auf Ihren Anruf.Ihr Bernapark-Team,https://www.immoscout24.ch/de/d/wohnung-mieten-stettlen/7043152,True,False,False,True,True,False,False,False,True
4.5,112.5,1945,1695,2502,Zentralstrasse 28,Biel/Bienne,2020,Moderne grosszügige 4.5-Zimmer-Wohnung direkt im Bieler Stadtzentrum mit grosser offener Küche mit GS Balkon Parkett- und Plattenböden Bad/WC und Dusche div. Einbauschränke. Bushaltestelle direkt vor dem Haus der Hauptbahnhof kann zu Fuss innert 5 Gehminuten erreicht werden.Mietzins CHF 1'695.-- + HK/NK Akonto CHF 250.--Appartement moderne et spacieux de 4.5 pièces directement au centre-ville de Bienne avec grande cuisine ouverte avec GS balcon parquet et carrelage salle de bain/WC et douche div. armoires encastrées. Arrêt de bus directement devant l'immeuble la gare centrale est accessible à pied en 5 minutes.Loyer CHF 1'695.-- + acompte HK/NK CHF 250.--,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7080317,True,False,True,False,False,True,False,False,True
3.5,90.0,1390,1300,3018,Thüringstrasse 24,Bern,0,Sehr ruhige komplet neu renovierte  helle und ruhige Wohnung.Zentral in BümplizWichtig :Keine Raucher und Haustiere,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/6834689,True,True,False,True,False,False,False,False,False
5.0,115.0,2600,2290,3018,Statthalterstrasse 46,Bern,2022,In schönem 2-Familienhaus wird gleichzeitig das EG (115m2) sowie das OG (108m2) neu vermietet. Geeignet für 2 Generationen oder 2 befreundete Familien. Der oben genannte Preis versteht sich pro Wohnung.Im EG sowie OG 5-Zimmer wovon eines zum geräumigen Eingangsbereich hin offen grosse neue Küche mit Platz für Esstisch Bad und separates WC (beides neu). Alle Zimmer werden renoviert.Zur Wohnung gehört 1 Estrich + 1 Mansarde oder 2 Mansarden inkl. Dusche/WC.Eigene Kellerräume.Gemeinsame Waschmaschine im Keller.Grosser Garten zur gemeinsamen Nutzung im OG Terrasse + Balkon.Gedeckter Velounterstand vorhanden.Da zur Zeit noch renoviert wird kann sich die Anfangsmietzeit um 2 Wochen nach vorne/hinten verschieben. Aus demselben Grund stehen zur Zeit auch noch nicht mehr Fotos zur Verfügung.,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7094973,True,True,False,False,False,False,False,True,True
4.5,112.0,1540,1350,3150,Thunstrasse 32,Schwarzenburg,0,No information,https://www.immoscout24.ch/de/d/wohnung-mieten-schwarzenburg/7102418,True,False,True,False,False,False,False,False,True
4.0,81.0,1480,1260,4900,Grubenstrasse 43,Langenthal,2012,GOODY-AKTION! Wir schenken Ihnen den 1. Netto-Mietzins!Nach Vereinbarung vermieten wir diese grosszügige Wohnung in einem gepflegten Mehrfamilienhaus welche Sie mit folgender Ausstattung überzeugen wird:moderne Küche mit GranitabdeckungGlaskeramikherdGeschirrspülerParkettboden in ganzer WohnungPlattenboden in Küche und Nasszellengrosses Badezimmer mit Badewanne und Tageslichtseparates Gäste-WCgrosser besonnter BalkonSpielplatz im QuartierEinbauschränkeLiftGOODY-AKTION:Bei Mietvertragsabschluss bis 30.06.2022 schenken wir Ihnen den 1. Netto-Mietzins. Die Mindestmietdauer beträgt 1 Jahr.Die Liegenschaft befindet sich an familienfreundlicher Lage. Diverse Einkaufsmöglichkeiten sowie öffentliche Verkehrsmittel erreichen Sie in wenigen Gehminuten.Bei Bedarf kann ein Autoabstellplatz für CHF 40.-/Monat oder ein Einstellplatz für CHF 100.-/Monat dazu gemietet werden.Konnten wir Ihr Interesse wecken? Dann füllen Sie die Kontaktanfrage aus um die Besichtigungsinformationen per E-Mail zu erhalten.Bei den Fotos und dem virtuellen Rundgang handelt es sich um Beispielbilder eines vergleichbaren Objekts welche den Ausbaustandard zeigen.Grundrissplan auf Anfrage.,https://www.immoscout24.ch/de/d/wohnung-mieten-langenthal/6623830,True,False,True,False,False,False,False,False,False
2.0,50.0,1010,880,4900,Lagerweg 2,Langenthal,2008,Die Lage Die gepflegte Überbauung am Stadtrand von Langenthal umfasst drei dreistöckige Mehrfamilienhäuser und ein Hochhaus mit 12 Etagen. Viele Einkaufsmöglichkeiten bietet Ihnen das Stadtzentrum von Langenthal welches bequem mit dem Bus in ca. 15 Minuten erreichbar ist. In der Nähe des Lagerwegs hat es eine Coop Pronto Tankstelle mit Produkten für den täglichen Bedarf. Mit dem Bus erreichen Sie den Hauptbahnhof Langenthal in nicht mal fünf Minuten. Die Autobahnauffahrt Niederbipp A1 ist in 10 - 15 Fahrminuten entfernt. Der Kindergarten ist nur in wenigen Gehminuten erreichbar. Das Schulzentrum Kreuzfeld mit Ober- und Unterstufe ist ca. 20 Fussminuten entfernt.Rundgang durch Ihre Wohnung Auf diesen 50m2 können Sie Ihrer Kreativität freien Lauf lassen und sich einrichten. Dank der intelligenten Raumaufteilung verfügt die Wohnung über geräumige Zimmer und einen grossen Eingangsbereich. Das Highlight ist der grosse Balkon auf welchem Sie die Sommerabende geniessen können.·Küche mit Geschirrspüler·ganze Wohnung mit Parkettboden·grosser Balkon·Badezimmer mit Badewanne·Eingangsbereich mit Garderoben und Wandschrank·KellerDetails Einstellhallenplatz kann für CHF 95.00 mtl. dazu gemietet werden. Für die Kinder hat es einige Spielmöglichkeiten und genügend Rasenfläche vorhanden.Anrufen. Besichtigen. Mieten. Gemütliche Wohnung am Stadt von Langenthal gesucht? Wir freuen wir uns auf Ihre Kontaktaufnahme!Julian Cucchiara058 280 34 88julian.cucchiara@helvetia.chAls Mieter von Helvetia erhalten Sie eine kostenlose Umzugsversicherung für den Umzug in Ihre neue Wohnung!Bei den publizierten Bildern handelt es sich um typenähnliche / typengleiche Wohnungen. Abweichungen zum effektiven Angebot sind deshalb möglich.,https://www.immoscout24.ch/de/d/wohnung-mieten-langenthal/7085336,True,True,False,True,False,False,False,False,False
3.5,86.0,1530,1330,2502,Verresiusstrasse 11,Biel/Bienne,2009,"Die Lage Die Überbauung ""Vision Rousseau"" liegt im Zentrum von Biel. Biel präsentiert sich nicht nur als attraktiver Unternehmensstandort sondern auch als anziehender Wohnort. Im Umfang von 5 bis 10 Gehminuten befinden sich der Hauptbahnhof das Einkaufszentrum die Post Primar- und Sekundarschulen Kindergarten das Berufs- und Informationszentrum sowie Restaurants Theater Museen und das Hallenbad zu Ihrem Vergnügen. Geniessen Sie gemütliche Stunden am Bielersee welcher in wenigen Minuten erreicht ist sowie das abwechslungsreiche Seeland mit umfangreichen Naherholungsgebieten!Ein Rundgang durch Ihre Wohnung Der attraktive Grundriss ist ideal für Familien oder Wohngemeinschaften. Der moderne Parkettboden in allen Wohnräumen sorgt für eine behagliche Atmosphäre. Weiter bietet Ihnen diese Wohnung folgende Vorzüge:offene moderne Einbauküche mit Geschirrspüler Glaskeramikkochfeld und Kombibackofen Kühlschrankkombination mit abgetrenntem Gefrierfach ChromstahlabdeckungBadezimmer mit Badewanne Keramikwaschtisch mit Unterbau WCWaschturm (Waschautomat und Tumbler)ReduitParkett in Räuchereiche im Korridor Küche Wohn- und Esszimmer sowie in den SchlafräumenPU-Giessbelag im BadezimmerBalkonKellerabteilDetails Unser Hauptamtliche Hauswart hält die Liegenschaft im Schuss und ist jederzeit Ihr Ansprechpartner. Biel ist hervorragend ans Schweizer Strassen- und Eisenbahnnetz angebunden. Vier internationale Flughäfen sind innert 90 Minuten erreichbar. Nebst einer beispielhaften Infrastruktur bietet die Jura- und Seestadt auch ein abwechslungsreiches Freizeitangebot; zahlreiche Sportvereine verschiedene kulturelle Anlässe Museen Naherholungsgebiete (Bielersee Jura Parkanlagen Wälder usw.)Weitere Informationen über Biel finden Sie unter: www.biel-bienne.chAnrufen. Besichtigen. Mieten. Wollen Sie schnell im Strandband sein? Wir freuen uns auf Ihre Kontaktaufnahme!4L services AGHerr Anthony Buholzer032 396 05 60Als Mieter von Helvetia profitieren Sie von 50% Rabatt auf Ihre erste Jahresprämie für ausgewählte Helvetia Versicherungsprodukte!Weitere interessante Mietobjekte finden Sie unter: www.helvetia.ch/mieteBei den Publizierten Bildern handelt es sich um typenähnliche/typgleiche Wohnungen. Abweichungen zum effektiven Angebot sind deshalb möglich.",https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7074290,True,True,True,True,False,True,False,False,False
3.5,79.0,1520,1290,2504,Südstrasse 48,Biel/Bienne,2015,Die Lage Die Überbauung Südstrasse / Calvinweg liegt in Biel-Mett an ruhiger Lage. Kindergärten Schulen und Einkaufläden sind in unmittelbarer Nähe. Naherholungsgebiete wie der Büttenberg- und Längholzwald und Sportanlagen sind in wenigen Gehminuten erreichbar.Ein Rundgang durch Ihre Wohnung Der attraktive Grundriss lässt mehrere Möglichkeiten wie Familien Wohngemeinschaften oder Singels offen. Der Eingangsbereich ist mit einem Wandschrank ausgestattet. Die helle moderne Küche ist abgeschlossen. Das Wohn- sowie das Schlaf- und Kinderzimmer verfügen über Parkettboden. Weiter bietet Ihnen diese Wohnung folgende Vorzüge:Einbauküche mit Geschirrspüler Glaskeramikkochfeld und Backofen Kühlschrankkombination mit abgetrenntem Gefrierschrank GranitabdeckungBadezimmer mit Dusche Lavabo WCWaschturm (Waschautomat und Tumbler)Parkett im Wohn- Schlaf- und KinderzimmerPflegeleichter Plattenboden in Küche und BadezimmerBalkonKellerabteilLift vorhandenDetails Ein Einstellhallenplatz kann für CHF 117.00 pro Monat dazu gemietet werden. In der Überbauung befindet sich ein Spielplatz Die Aussenanlage ist attraktiv und übersichtlich gestaltet. Unser hauptamtlicher Hauswart hält die Liegenschaft in Schuss und ist jederzeit Ihr Ansprechpartner. Biel ist hervorragend ans Schweizer Strassen- und Eisenbahnnetz angebunden. Vier internationale Flughäfen sind innert 90 Minuten erreichbar. Nebst einer beispielhaften Infrastruktur bietet die Jura- und Seestadt auch ein abwechslungsreiches Freizeitangebot; zahlreiche Sportvereine verschiedene kulturelle Anlässe Museen Naherholungsgebiete (Bielersee Jura Parkanlagen Wälder usw.)Weitere Informationen über Biel finden Sie unter: www.biel-bienne.chAnrufen.Besichtigen.Mieten Suchen Sie eine Wohnung Nähe Naherholungsgebiet und zentral gelegen? Wir freuen uns auf Ihre Kontaktaufnahme!4L services AGHerr Anthony Buholzer032 396 05 60Als Mieter von Helvetia profitieren Sie von 50% Rabatt auf Ihre erste Jahresprämie für ausgewählte Helvetia Versicherungsprodukte!Bei den publizierten Bildern handelt es sich um typenähnliche / typengleiche Wohnungen. Abweichungen zum effektiven Angebot sind deshalb möglich.Weitere interessante Mietobjekte finden Sie unter: www.helvetia.ch/miete,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7073118,True,True,True,False,False,True,False,False,False
