rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,infos,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,url_immoscout
"2,5 Zimmer",54 m²,CHF 2225.—,CHF 2045.—,3011,Gerberngasse 13,Bern,2015,"Die Liegenschaft aus der Erstellungszeit um 1866 wurde 2015 stilgerecht und total saniert. Eine elegante Wohnung mit Kombination aus modernem Komfort und historischen Elementen.Die Wohnung bietet folgende Vorzüge:Lichtdurchflutete, wohlproportionierte WohnräumeLangriemenarkett EicheElegante KücheModernes Bad mit Dusche (ohne Badewanne)Eigene Waschmaschine / TumblerDachterrasse 14 m2Sehr zentral und ruhigEin paar Fussminuten von der Aare entferntEstrich vorhandenKein Lift und kein BalkonHaben wir Ihr Interesse geweckt? Rufen Sie uns an, wir freuen uns über Ihre Kontaktaufnahme.",False,False,False,False,False,False,False,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/6943879
4 Zimmer,80 m²,CHF 1250.—,CHF 1050.—,3183,Ueberstorfstrasse 4,Albligen,2019,Es können auch noch bei Bedarf zwei Garagen  gemietet werdenFr. 100.--/je Garage. Es handelt sich um die mittlere Wohnungrechts mit einer sehr schönen  Aussicht.Gerne erwarte ich Ihre Kontaktnahme.,True,False,False,False,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-albligen/7107723
"3,5 Zimmer",89 m²,CHF 2500.—,CHF 2200.—,3005,Florastrasse 5,Bern,No information,"An zentraler und sehr ruhiger Wohnlage vermietenwir eine exklusive 3.5-Zimmer Altbau-Wohnung.Dieses Schmuckstück überzeugt Sie mit folgendenVorzugen:grossräumiges Wohnzimmer mit ParkettbodenKüche mit Glaskeramikkochfeld, Geschirrspühlerund Granitabdeckungmoderne Nasszelle mit eigener Waschmaschineund TumblerBalkon mit Blick auf den Gurtenzwei separate Keller- und ein Estrichabteilgeräumiges ReduitDie Lage der Wohnung ist sehr zentral, ruhig undoptimal erschlossen im attraktivenKirchenfeldquartier. Öffentliche Verkehrsmittel(Tram) befinden sich in unmittelbarer Nähe. DerKindergarten und die Schule sind in wenigenGehminuten erreichbar - Einkaufsgelegenheitensind in Gehdistatnz. Die NaherholungsgebieteDählhölzli und die Aare liegen direkt vor der Tür.kein Lift",True,False,False,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7107664
No information,38 m²,CHF 960.—,CHF 760.—,2502,Reuchenettestrasse 7,Biel/Bienne,2012,"Heimelige, helle und sanierte 2,5 Zimmer-Wohnung in reno-viertem Altbau mit Dachschräge, Dachfenster, Raumhöhe 2,8 m, Reduit. Platten- und Laminatboden. Zur allgemeinen Verfügung grosser Garten mit Gartenhaus. Nähe Zentrum.",False,False,False,False,False,False,True,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/6024411
"4,5 Zimmer",120 m²,CHF 1550.—,CHF 1250.—,2710,Grand Rue 14,Tavannes,2022,"Joli appartement rénové dans un style ancien, cuisine moderne bien équipée ouverte, 3 chambres a coucher, salle de bains avec baignoire, cave.Le bâtiment est situé dans centre ville du Tavannes derrière de la station de les train.",True,False,False,False,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-tavannes/7107539
"2,5 Zimmer",70 m²,CHF 1250.—,CHF 1050.—,2710,Grand Rue 14,Tavannes,2022,"Joli appartement rénové dans un style ancien avec cuisine moderne bien équipée, chambres à coucher, grand  salle de bains avec douche , terasse ouverte, cave.",True,False,False,False,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-tavannes/7107552
"3,5 Zimmer",87 m²,CHF 2650.—,No information,3066,Ferenbergstrasse 21,Stettlen,No information,"Helle, grosszügige Wohnung im EG mit Garten.Interner Zugang zum Heim und verschiedenen Dienstleistungen wie Mahlzeitendienst, Essen im Speisesaal, Teilnahme an Aktivierungen, Fitnessraum, vierrädriger Caddy",False,False,False,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-stettlen/6858167
3 Zimmer,65 m²,CHF 1835.—,CHF 1660.—,3084,Gossetstrasse 17,Wabern,2017,"Wir vermieten ab sofort oder nach Vereinbarung eine helle und moderne 3-Zimmer-Wohnungan zentraler und ruhiger Lage in Wabern.Auf Folgendes dürfen Sie sich freuen:moderner, stilvoller Grundriss mit offener Kücheschöner Balkon mit toller Aussicht Richtung Aare-GrüngürtelBadezimmer mit Dusche, Regenbrausedurchgehend Parkettboden in EicheBodenheizungVerwendung modernster MaterialienDas Mehrfamilienhaus wurde vor vier Jahren umfassend renoviert und enthält sieben neu sanierte Wohnungen.  Der öffentliche Verkehr, die Schulen und die Einkaufsmöglichkeiten befinden sich in unmittelbarer Nähe.Das Naherholungsgebiet Aare/Eichholz befindet sich in unmittelbarer Nähe.Eine Garage für CHF 150.-- und ein Aussenabstellplatz für CHF 40.-- pro Monat können dazu gemietet werden.Weitere Informationen und die Einzelheiten zur Wohnung finden Sie in den angehängten Dokumenten.Gerne stehen wir Ihnen für Fragen zur Verfügung. Wir freuen uns, von Ihnen zu hören!",True,False,False,False,True,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-wabern/7107386
"2,5 Zimmer",No information,CHF 1180.—,CHF 980.—,4538,Weihergasse 29,Oberbipp,2018,"Per 1. Juli 2022 oder nach Vereinbarung vermieten wir diese stilvolle und moderne 2.5-Zimmer-Erdgeschosswohnung.Die Wohnung überzeugt mit folgender Ausstattung:Eingangsbereich mit praktischem EinbauschrankHochwertige, offene Küche – Alles da was Kochherzen höher schlagen lässt: Pflegeleichte, hochwertige Granitabdeckung, Geschirrspülmaschine, Backofen, grosser Kühlschrank, Glaskeramikherd und Dampfabzug und viel Platz für Küchenutensilien.Wohn- und Esszimmer, ca. 19 m2 mit vielen Möglichkeiten zur individuellen GestaltungBadezimmer mit Waschturm (Waschmaschine und Trockner), schwellenloser, grosszügiger Dusche, Lavabo, Spiegelschrank und ToiletteSitzplatz, ca. 25 m2Hochwertiger Parkettboden im Wohn- und SchlafbereichPlattenboden in der Küche und im BadezimmerWärmeverteilung mittels BodenheizungLift vorhandenFahrradraum zur MitbenutzungHaustiere grundsätzlich erlaubt (auf Anfrage)Lage und Umgebung:Wohnlage in ruhigem EinfamilienhausquartierIdeale Verkehrslage, sowohl für den Öffentlichen- wie auch für den IndividualverkehrBahnhof von Oberbipp in wenigen Gehminuten erreichbarDer tägliche Einkauf kann im Dorf getätigt werdenDer Kindergarten und die Primarschule kann im Dorf besucht werden. Die Oberstufen befinden sich in der Nachbargemeinde Wiedlisbach.Das Naherholungsgebiet lädt zu zahlreichen Sport- und Freizeitaktivitäten einEin Einstellhallenplatz kann für 120.00 pro Monat dazu gemietet werden.Haben wir Ihr Interesse geweckt? Dann melden Sie sich bei uns mittels Kontaktformular, damit wir Sie für einen Besichtigungstermin kontaktieren können.Wir freuen uns auf Ihre Kontaktaufnahme.Ihre Ambassador Immobilien und Verwaltungs AG",True,True,True,False,True,True,False,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-oberbipp/6901902
2 Zimmer,45 m²,CHF 1170.—,CHF 1050.—,3700,19A,Spiez,No information,"Oberhalb der Spiezerbucht vermieten wir an sehr ruhiger, zentraler Wohnlage mit Sicht auf See und Berge, heimelige 2- Zimmer- Dachwohnung mit grossem Eckbalkon, seeseitigideal für eine Person oder Ferienwohnung.Fünf Gehminuten vom Bahnhof, Einkauf und Schiffstation.Auto Unterstellplatz  Fr. 90.00 per Monat",True,False,False,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/dachwohnung-mieten-spiez/7107382
"2,5 Zimmer",No information,CHF 1280.—,CHF 1100.—,2504,Mettstrasse 126,Biel/Bienne,No information,"La parfait apartement pour vous!A loué un jolie appartement de 2.5 pieces a la Mettstrasse 126:Nouvelle constructionDeux chambres bien isoléGrande cuisine ouvert avec un lave vaisselle, grand frigo, un exellent four pour de bon rotis et gateau et vitro ceramicContactez-nous pour une visite!Wir haben die perfekte Wohnung für Sie!Per April 2022 vermieten wir an der Mettstrasse 126 eine tolle, frisch renovierte 2.5 Zimmerwohnung.Großzügiger GrundrissSchöner LaminatbodenTop moderne Küche mit viel SchrankplatzGrosses Wohnzimmerattraktiver MietzinsGerne zeigen wir Ihnen die Wohnung. Melden Sie sich bei uns für einen Besichtigungstermin unter 043 960 79 28 oder per WhatsApp 079 515 34 99.Viel Glück!",False,False,False,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/6976530
6 Zimmer,190 m²,CHF 2260.—,CHF 1900.—,4953,Bernstrasse 74,Schwarzenbach (Huttwil),No information,"Grosszügige Wohnung im 1. und 2. Obergeschoss eines 3-Familienhauses mit grosser Dachterrasse 110m2 und 2 Lauben verglast. Strassenseitig mit Lärmschutzfenster.  Die Wohnung bietet Wohnraum wie in einm Einfamilienhaus1 OG :Wohn-und Esszimmer mit Parkettböden und mit einem Sitzofen elektirsch beheizbarKüche mit allem Komfort wie Induktionskochfeld, Backofen mit Steamer,grosser Kühlschrank, GeschirrspülerBadezimmer mit Waschtisch, Dusche,WC, Waschmaschine, BoilerDachgeschoss:Drei Schlafzimmer mit Vinylböden und Täferdecken (Eines davon mit Ankleide)Badezimmer mit Waschtisch Badewanne und TumblerAutoabstellplatz ist im Preis inbegriffenHaustiere nicht erlaubtDie Wohnung wird noch teilsaniert",True,False,False,True,False,False,False,True,True,https://www.immoscout24.ch/de/d/duplex--maisonette-wohnung-mieten-schwarzenbach-huttwil/7107243
3 Zimmer,No information,CHF 1300.—,CHF 1080.—,2502,Diamanstrasse 3,Biel/Bienne,No information,"Die schöne und zentral gelegene Stadtwohnung ist im  Hochparterre der gepflegten Liegenschaft an der     Diamantstrasse 3 und verfügt unter anderem über einen alten und gepflegten Parkettboden, eine moderne Küche so wie div grosse Wandschränke, Estrich/Kellerabteil sind ebenfalls für den Mieter da, in nur wenigen Gehminuten erreichen sie bequem das Zentrum der Stadt, die gepflegte Liegenschaft besticht durch ihren charmanten Charakter.",False,False,False,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/6055785
3 Zimmer,67 m²,CHF 1360.—,CHF 1200.—,3123,Gurtenweg  1,Belp,1955,"Besichtigung DO 19. Mai 2022, 13.00 Uhr - Bitte kommen Sie ohne Voranmeldung vorbei.Die 3-Zimmerwohnung mit gutem Grundriss verfügt über einen schönen Balkon. Die Küche mit Geschirrspüler und das Badezimmer sind hell gehalten. Es wurden neue gut isolierende Fenster eingebaut, die Heizung saniert, das Warmwasser wird mit Solarenergie gewonnen. Alle Zimmer verfügen über Parkett. Zur Wohnung gehören ebenfalls ein Estrich und ein Keller. Ein Autoabstellplatz CHF 50.00 kann dazu gemietet werden. Das schöne Wohnhaus liegt an ruhiger und doch zentraler Lage in Belp verfügt über 4 Wohnungen.",True,False,False,True,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-belp/7106370
"3,5 Zimmer",91 m²,Preis auf Anfrage,No information,3270,Bahnhofstrasse 11 / W4,Aarberg,2015,Wir vermieten per 1. August oder nach Vereinbarung eine sehr schöne 3.5 Zimmer-Wohnung im Aaberg Center:Neubau 2015Ganze Wohnung ParkettBad mit BadewanneSep. WCEigener WaschturmSonnige TerrasseEinkaufsmöglichkeiten im HausZentrale LageEinstellplatz kann für CHF 120.00/Monat dazu gemietet werdenHaben wir Ihr Interesse geweckt? Dann freuen wir uns auf Ihren Anruf,False,False,True,False,True,False,True,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-aarberg/7080201
4 Zimmer,74 m²,CHF 1300.—,CHF 1050.—,3400,Steinhofstr. 53,Burgdorf,1963,"Wir bieten Ihnen im Steinhofquartier ab 1. August oder nach Vereinbarung eine Wohnung mit:Hellem Wohnzimmer mit schönem ParkettbodenPraktische EinbauschränkeSonniger BalkonEstrich- und KellerabteilRuhiges QuartierNähe BushaltestelleKein LiftEin Einstellhallenplatz kann dazu gemietet werden Fr. 100.00Besichtigung möglich an folgenden Daten: 19. Mai 2022 und 2. Juni 2022 zwischen 18.00 Uhr und 20.00 Uhr und am 10. Juni 2022 zwischen 15.00 und 20.00 Uhr. Klingeln Sie bei Anja Weibel, Steinhofstrasse 53.Bitte beachten Sie, dass es sich bei den Bildern um Beispielfotos einer ähnlichen Wohnung in der Liegenschaft handelt.",True,True,False,True,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-burgdorf/7079446
"4,5 Zimmer",93 m²,CHF 1530.—,CHF 1270.—,2555,Gartenweg 3,Brügg BE,1986,"Suchen Sie eine Parterre-Wohnung in gepflegter und kinderfreundlicher Umgebung? Dann sind Sie bei uns genau richtig!. Wohnküche mit Glaskeramikkochfeld. modernes Bad/WC. ganze Wohnung mit Parkett. Einbauschrank mit offener Garderobe. Sonniger Gartensitzplatz mit Blick ins Grüne. Kellerabteil- und Estrichabteil vorhanden. Kinderspielplatz in der Überbauung vorhanden. öffentl. Verkehr in wenigen Gehminuten erreichbarBei Bedarf kann ein Einstellplatz für CHF 110.00 pro Monat dazu gemietet werden.Bei den Innenfotos handelt es sich um Musterfotos, welche lediglich den Ausbaustandard darstellen und leicht vom Mietobjekt abweichen können.Haben wir Ihr Interesse geweckt? Dann freuen wir uns auf Ihre Kontaktaufnahme.",False,False,False,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-bruegg-be/7099485
"3,5 Zimmer",76 m²,CHF 1550.—,CHF 1320.—,3075,Breitfeldstrasse 3b,Rüfenacht BE,1967,"Diese attraktive Wohnung in gepflegter Umgebung bietet Ihnen folgende Annehmlichkeiten:. Wohn- und Schlafzimmer mit Parkettböden. abschliessbare Küche mit Glaskeramikherd. Badezimmer mit Badewanne. Korridor mit Einbauschrank. grosser, sonniger Balkon. Kellerabteil vorhanden. Einkaufsmöglichkeiten und ÖV in unmittelbarer NäheBei den Innenfotos handelt es sich um Musterfotos, welche lediglich den Ausbaustandard darstellen und leicht vom Mietobjekt abweichen können.Haben wir Ihr Interesse geweckt? Dann freuen wir uns auf Ihre Kontaktaufnahme.",False,False,False,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-ruefenacht-be/6451206
"3,5 Zimmer",104 m²,CHF 3000.—,CHF 2700.—,3095,Schweizerhausweg 4,Spiegel b. Bern,No information,"BeschreibungSuchen Sie eine Wohnung mit einem interessanten Grundriss, der keiner 08/15 Wohnung entspricht? Dann könnte Sie die neu erstellte Gartenwohnung im Eigentumsstandard mit unverbaubarer Aussicht auf die Stadt Bern (Aare, Marzili, Bundeshaus, Kursaal, Münster, etc.) interessieren.Die Wohnung ist ab sofort bezugsbereit und bietet Ihnen einen modernen Ausbau, der gehobenen Ansprüchen gerecht wird:Direkter Zugang von der Garage in die WohnungGrosszügige Einbauschränke vorhandenEinladender EingangsbereichFussbodenheizung; gespiesen durch Erdsonde und Solarpanels auf dem DachIn den Wohnräumen sorgt der Eichenparkett für ein angenehmes Klima; im Nassbereich sind grosse (90 x90 cm) hellgraue Keramikplatten verlegtDie offene Küche, ausgestattet mit Miele-Geräte, ist mit dem Essbereich verbundenDas nach Südwesten ausgerichtete Wohnzimmer hat einen direkten Ausgang in den Garten (Alleinnutzungsrecht) sowie auf die Terrasse und lassen keine Wünsche offen. Im Winter sorgt ein Cheminée-Ofen im Wohnzimmer für ein zusätzliches, behagliches AmbienteDas Schlafzimmer ist gegen Norden ausgerichtet mit Blick aufs Bundeshaus und direktem Zugang ins Badezimmer, welches mit Kaldewei-, Laufen- und Vola-Produkten ausgestattet istDas zweite Zimmer (10 m2) kann als Gästezimmer, Büro oder Fernsehzimmer genutzt werden, da es an das Wohnzimmer angrenzt und durch eine hochwertige Schiebtüre unterteilt istDas grosszügige Kellerabteil (26 m2) verfügt über eine eigene Wachmaschine und einen Tumbler (beides Miele-Geräte)Einstellhallenplatz kann dazu gemietet werden (Fr. 100.-/Monat)Haben wir Ihr Interesse geweckt? Dann freuen wir uns über Ihren Anruf und stehen Ihnen gerne für einen unverbindlichen Besichtigungstermin gerne zur Verfügung.",True,False,False,False,False,False,True,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-spiegel-b-bern/7106679
4 Zimmer,No information,CHF 1900.—,CHF 1800.—,3645,Gwattstutz 46,Gwatt (Thun),2022,"Ein kleines, energiesaniertes REFH im Gwatt  am Thunersee steht für Sie zur Miete parat (Erstbezug nach Gesamtrenovation).Ideal geeignet für einen Zweipersonenhaushalt.Interessiert?076 761 58 98,  ab 19 Uhr",True,False,False,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/reihen-einfamilienhaus-mieten-gwatt-thun/7106702
"3,5 Zimmer",No information,CHF 1330.—,CHF 1100.—,3436,Buchrainstutz 1,Zollbrück,No information,"Wir vermieten per 01. August 2022 oder evtl. früher eine 3.5-Zimmer-Wohnung im 1. Obergeschoss in dieser charmanten Altbauliegenschaft.Die Wohnung ist wie folgt ausgestattet:zweckmässige Küche mit viel Stauraum, Geschirrspüler, Glaskeramikherd und EckbankBad mit Badewannezwei Lauben (westseitig gedeckter Laubenteil + Aussenreduit)3 abgeschlossene Zimmer (teilweise mit Einbauschrank)KellerZum Mietobjekt gehört ein Aussensitzplatz und ein Rasen mit Abendsonne. Es kann ein Garten angelegt werden.Die Waschküche liegt im Erdgeschoss und wird mit der Mietpartei der Parterrewohnung gemeinsam genutzt. Weiter kann im Anbau ein Werkraum mit den anderen Mietparteien im Hause benützt werden.Zur Wohnung können eine grosse Garage (CHF 100.00/Mt.) oder eine kleine Garage (CHF70.00) sowie ein Autounterstand (CHF 70.00/Mt.) dazu gemietet werden.Gerne dürfen Sie sich für weitere Auskünfte oder die Vereinbarung eines Besichtigungstermins mit uns in Verbindung setzen.",True,False,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-zollbrueck/7106703
"3,5 Zimmer",86 m²,CHF 1670.—,CHF 1490.—,3235,Insstrasse 22,Erlach,2012,"Glas-, Holzküche mit Kochinsel und Bar, Granitabdeckung, Backofen, Mikrowellengerät, Kühlschrank mit Tiefkühler (3 Schubladen). Küche verfügt über viele Schubladen, grosses Glaskeramikfeld und Dampfabzuggrosser BalkonSchlafzimmer mit separater, begehbarer AnkleideEingang mit begehbarer GarderobeGarten zur MitbenützungKeller mit Fenster und Lavabo, deshalb auch geeignet als Bastelraum2 Parkplätze vor dem Haus zum Mieten à je 50.00 CHF/Monat,Garage zum mieten auf Anfrage für 120.00 CHF/MonatMietbeginn: ab 01. September 2022 oder nach Absprache ab 01. Juni 2022 möglich.",True,False,False,True,False,False,True,False,True,https://www.immoscout24.ch/de/d/dachwohnung-mieten-erlach/4330349
"4,5 Zimmer",81 m²,CHF 1520.—,CHF 1270.—,3225,Reiterweg 12,Müntschemier,2022,"4.5 Zimmerwohnung + Mansardenzimmer in Müntschemier im 1. Stock. 1270.- (Miete 1270.- + 250.- NK) ab 1. Juni oder nach Vereinbarung:Neue EinbaukücheFrisch gestrichenGarten mit Möglichkeit zu gärtnernBalkonInklusive AutoabstellplatzKeller, Estrich und grosser gemeinsamer Raum für GartensachenSchule 5 Minuten zu Fuss erreichbar. Oberstufe in Ins.Es ist eine Sackgasse und hat somit keine befahrene Strasse neben dem HausInsgesamt 3 Parteien im HausDas Haus gehört einer Erbengemeinschaft.Für Besichtigung: 079 515 06 47",True,True,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-muentschemier/7106659
"3,5 Zimmer",73 m²,CHF 1520.—,CHF 1320.—,3700,Neumattstrasse 10,Spiez,1986,"An zentraler Lage in Spiezpraktische, gefällige Raumaufteilungkomplette Balkonverschalung mit Glasfalttüreneigener Waschturmneue Küchemit Einstellhallenplatz",True,False,True,False,False,False,False,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-spiez/7106644
"4,5 Zimmer",130 m²,CHF 1500.—,CHF 1300.—,3176,Pfrundstrasse 28,Neuenegg,2021,"Wir vermieten nach einer Totalsanierung in einem Mehrfamilien Haus im 2. OG, eine helle, grosszügige 4.5-Wohnung. Die Wohnung besticht mit folgenden Attributen:·         helles Wohnzimmer mit Blick ins Grüne·         Chemie für den gemütlichen Winterabend.·         angrenzender Essbreich·         zwei helle Kinderzimmer und ein Elternschlafzimmer·         neuen Küche mit modernen Küchengeräten·         neues Badezimmer mit Badewanne und WC·         separate schwellenlose Dusche aus Glas·         grosser Balkon zum Draussen sitzen und die Natur geniessen·         separates Kellerabteil und Velokeller·         Gemeinschaft-Waschküche mit Waschmaschine und Tumbler.·         Garage / Aussenparkplatz, zuzüglich Fr.150.-/Mt.·         kein Durchgangsverkehr.·         10 Gehminuten zu Einkauf-Möglichkeiten oder ÖV·         Ebenfalls stehen Besucherparkplätze zur Verfügung.Es sind keine Hunde erlaubt.(BITTE KEINE VERMITTLUNGSAGENTUREN)",True,False,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-neuenegg/7106646
"3,5 Zimmer",100 m²,CHF 2590.—,CHF 2290.—,2572,Unterdorfstrasse 18,Mörigen,2017,"Exklusive Dach-Wohnung  in neu (2017) erstellter Liegenschaft in Mörigen zu vermieten.Die Liegenschaft profitiert von einer einzigartigen Lage mit Seesicht.Die Liegenschaft profitiert von einer einzigartigen Lage. Das regional steuergünstige Mörigen gehört zu einem der beliebtesten Wohnorte im Seeland und gilt als „Goldschatz“ oder als „Perle am Bielersee“. Aufgrund der im Vergleich zu den Nachbarsgemeinden deutlich tieferen Steuern sind Einsparungen bis zu Fr. 500.-/Monat möglich (je nach individueller Situation).Die Wohnung ist hochstehendend ausgestattet und verfügt über ausserordentliche Vorzüge:schöner BalkonDampfgarer, Vakuumierschublade, Weintemperierschrank, Amerikanischer Side-by-Side KühlschrankGrosszügiges Badezimmer mit Dusche und BadWaschmaschine und Tumbler in der WohnungElektrische Storen und SonnenstorenWellnessbereich (gemeinsam genutzt)Wasser-EnthärtungsanlageEinstellhallenplätze und Fahrradständer mit Strom-Anschlussuvm.Zur Wohnung können Parkmöglichkeiten (Einstellhallenplatz, Aussenparkplatz) gemietet werden.Gerne stehen wir Ihnen für weitere Informationen zur Verfügung.",True,False,True,False,False,False,True,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-moerigen/7085353
